,Date,User,Tweet
3956,2022-12-19 21:41:42+00:00,yungxkane,"@the_real_sr4 @vini_ball Messi: 1 WC
Ronaldo: 0 goals wc knockout stage"
3957,2022-12-19 21:41:37+00:00,COYSJordan94,@YoungestK1ng Literally every single day there is something about Ronaldo and it always seems to be negative.
3958,2022-12-19 21:41:36+00:00,_boy_ekis,"@matserban @smallestimprove @blickyx_ @TeamCRonaldo Yes they did , they qualified by winning two of theee matches 
Ronaldo had 3g/2. Assists in the euros and they were only in two matches matches out of 7 
I’m genuinely confused at this your argument tbh 
+ you can’t compare best 3rd place to first place man wtf"
3959,2022-12-19 21:41:32+00:00,SaraAhm03,"@_stayXaway @JustYourVee Negative? Who Karan and teju? Hahaha you are funny I like the joke. And you think they would have even cared to come? Lol your fav literally compared himself with Ronaldo tf, someone thinks he is like Ronaldo. At least Ronaldo is talented unlike someone."
3960,2022-12-19 21:41:30+00:00,Erlinghaalander,@UberFacts Ronaldo's yesterday
3961,2022-12-19 21:41:28+00:00,luuk15576778,@Jazz00733512 @Gbat2022 @ESPNUK Hé talks about the real Ronaldo.
3962,2022-12-19 21:41:27+00:00,pensive_sieve,@Aomura18 @BiterCrazdLoner Fifa loves the humble types? and Ronaldo only has one more UCL then Messi
3963,2022-12-19 21:41:24+00:00,NothinMeans,@itsRonniie @BarcaWorldwide 5th is which Ronaldo? Or was it Eusébio?
3964,2022-12-19 21:41:22+00:00,ikifionu,@Anderology @alexdesilva94 @Carra23 A ceasefire was called in a Nigeria/Biafra civil war so Pele can play. Let Ronaldo go get a ceasefire in Russia/ Ukraine war let us check something. Or stop any conflict in any locality for 6 hours. Pele is the greatest. Take it or leave it.
3965,2022-12-19 21:41:19+00:00,EinarH_,"If you do these kind of sport wars you are at the level of Messi and Ronaldo fanboys.

It doesn’t take anything away from football to appreciate other sports, which aren’t any less valuable. https://t.co/ITEkQN0LPR"
3966,2022-12-19 21:41:18+00:00,CFCTom99,@NayeemODR And Ronaldo fans are liking the egg
3967,2022-12-19 21:41:15+00:00,ihe_chi_,"@victorydonscrew @Makwazyxkintone @iDanDizzy Personal life style I guess.
Everyone has there's!
Ronaldo is on the Spotlight that's why everyone see his!
Trust me all have our own demons!"
3968,2022-12-19 21:41:15+00:00,Fcb_s_a_m,Ronaldo fans couldn't win over Messi by any means that they are now flocking to Instgram to raise likes for the egg post 😭
3969,2022-12-19 21:41:13+00:00,adam9ezz,@D10LM10j @Evertxn Did u not watch him or see how he played for Man U 2003-09 and Madrid? He was more than just a goalscorer. U started watching football in 2017 or some shit. He is way better than Pele and Maradona. World Cups with the best nations doesnt mean anything. Messi/Ronaldo Top 2
3970,2022-12-19 21:41:13+00:00,cryptobaddie1,Mbappe might just end up like Ronaldo  😕 I feel for Neymar 👀
3971,2022-12-19 21:41:11+00:00,chitty_baine,@_bhigdean we dey support Ronaldo and Madrid abeg follow back.🙏😔
3972,2022-12-19 21:41:08+00:00,Emanuel29402387,"@unitedabeI @markgoldbridge He might score goal but to score as Messi and Ronaldo did n do he cant surpass that never , 800 goals ?😂😂😂 he cant  Cr7 and Messi will stay up  there alone for long timeeee"
3973,2022-12-19 21:41:07+00:00,FcbPiquefcb1,"@siuuxx24 @TheEuropeanLad Ronaldo king og instagram 
Messi king of football"
3974,2022-12-19 21:41:06+00:00,LifeOfBenRay56,@BenopaOnyx1 Deep down he knows who’s the goat 🐐 he is just mocking Ronaldo 😂😂😂🤣🤣🤣 same as Ishowspeed
3975,2022-12-19 21:41:05+00:00,NunezEra1,"@AasanjuSanju Also, Messi also had 3 la Liga best payers before the award was discontinued, whilst being in a league with Ronaldo, Xavi, Iniesta, Ramos etc"
